Name,Country,Description,Launch Date,Founders,Revenue Year 1,Revenue Year 2,Revenue Year 3,Current Status
SpaceX,USA,Aerospace manufacturer and space transport.,3/14/2002,Elon Musk,$0 ,$0 ,$0 ,Successful
Stripe,USA,Online payment processing.,9/29/2011,"Patrick Collison, John Collison",$0 ,$0 ,$10M,Successful
Airbnb,USA,Vacation rentals and homestays.,8/1/2008,"Brian Chesky, Joe Gebbia, Nathan Blecharczyk",$0 ,$1M,$8.4M,Successful
Uber,USA,Ride-hailing and food delivery.,3/1/2009,"Travis Kalanick, Garrett Camp",$0 ,$0 ,$0.5M,Successful
Canva,Australia,Graphic design platform.,1/1/2013,"Melanie Perkins, Cliff Obrecht, Cameron Adams",$0 ,$1M,$2M,Successful
Zoom,USA,Video conferencing software.,4/21/2011,Eric Yuan,$0 ,$0 ,$10M,Successful
Coinbase,USA,Cryptocurrency exchange.,6/1/2012,"Brian Armstrong, Fred Ehrsam",$0.5M,$5M,$20M,Successful
Slack,USA,Business communication platform.,8/1/2013,"Stewart Butterfield, Eric Costello, Cal Henderson, Serguei Mourachov",$0 ,$12M,$30M,Successful
Instacart,USA,Grocery delivery and pick-up.,6/1/2012,"Apoorva Mehta, Max Mullen, Brandon Leonardo",$1M,$10M,$100M,Successful
Robinhood,USA,Financial services and stock trading.,4/18/2013,"Vlad Tenev, Baiju Bhatt",$0 ,$0 ,$2.9M,Successful
Zomato,India,Online food delivery and restaurant discovery.,7/1/2008,"Deepinder Goyal, Pankaj Chaddah",$0.1M,$0.5M,$1.2M,Successful
Razorpay,India,Payment gateway and financial services.,1/1/2014,"Harshil Mathur, Shashank Kumar",$0 ,$0.2M,$1.5M,Successful
Ola Cabs,India,Ride-sharing and mobility services.,12/3/2010,"Bhavish Aggarwal, Ankit Bhati",$0 ,$0.1M,$0.8M,Successful
Byju's,India,Educational technology and online tutoring.,11/1/2011,"Byju Raveendran, Divya Gokulnath",$0.5M,$2M,$10M,Successful
Paytm,India,Digital payments and financial services.,8/1/2010,Vijay Shekhar Sharma,$0.2M,$1M,$5M,Successful
Swiggy,India,Online food ordering and delivery.,8/1/2014,"Sriharsha Majety, Nandan Reddy, Rahul Jaimini",$0.1M,$1.5M,$8M,Successful
Freshworks,India,Customer engagement software (SaaS).,10/13/2010,"Girish Mathrubootham, Shan Krishnasamy",$0 ,$0.5M,$2M,Successful
Oyo Rooms,India,Hospitality and hotel chain aggregator.,5/1/2013,Ritesh Agarwal,$0 ,$0.3M,$2.5M,Successful
Dream11,India,Fantasy sports platform.,1/1/2008,"Harsh Jain, Bhavit Sheth",$0 ,$0 ,$0.2M,Successful
Zerodha,India,Financial services and stock brokerage.,8/15/2010,"Nithin Kamath, Nikhil Kamath",$0.1M,$0.5M,$1.5M,Successful
Core BioTech Hub 20,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,1/13/2015,Priya Sharma,$54k,$1.6M,$6.8M,Successful
Global Logistics Nexus 21,UAE,A leading UAE-based Logistics startup specializing in scalable and innovative solutions for the global market.,7/27/2013,"Sarah Jenkins, Li Wei",$157k,$378k,$1.8M,Successful
Prime EdTech Solutions 22,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,12/24/2010,"Emma Wilson, Sanjay Gupta, Aisha Khan",$6k,$1.4M,$7.3M,Successful
Prime Cybersecurity Wave 23,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,4/6/2014,"Vikram Singh, Sanjay Gupta",$386k,$1.2M,$12.9M,Successful
Zenith CleanTech Labs 24,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,6/15/2010,"Emma Wilson, Michael O'Connor, Priya Sharma",$125k,$234k,$1.7M,Failed
Apex BioTech Labs 25,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,11/7/2018,"Kavita Reddy, Priya Sharma, Vikram Singh",$208k,$1.1M,$7.7M,Successful
Core EdTech Systems 26,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,3/15/2012,"Michael O'Connor, Kavita Reddy",$191k,$1.5M,$5.5M,Acquired
Zenith BioTech Nexus 27,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/14/2011,Kavita Reddy,$225k,$335k,$4.5M,Successful
Smart EdTech Point 28,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,8/19/2014,"Priya Sharma, Elena Rossi, Sanjay Gupta",$8k,$479k,$13.9M,Successful
Smart FinTech Labs 29,Australia,A leading Australia-based FinTech startup specializing in scalable and innovative solutions for the global market.,5/9/2020,"Michael O'Connor, Kavita Reddy",$367k,$143k,$9.3M,Acquired
Core AgriTech Point 30,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,1/5/2012,"Sarah Jenkins, Kavita Reddy",$112k,$313k,$6.7M,Successful
Zenith BioTech Technologies 31,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/20/2011,"Li Wei, Aisha Khan, Michael O'Connor",$307k,$966k,$1.7M,Successful
Prime EdTech Point 32,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,12/9/2011,Anjali Rao,$249k,$1.2M,$11.5M,Successful
Zenith Logistics Solutions 34,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,9/23/2021,"Arjun Mehta, Aisha Khan",$164k,$1.6M,$5.3M,Successful
NextGen E-commerce Flow 36,UK,A leading UK-based E-commerce startup specializing in scalable and innovative solutions for the global market.,8/24/2010,"Sarah Jenkins, Anjali Rao",$143k,$826k,$14.5M,Successful
Smart BioTech Flow 37,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/27/2016,"Arjun Mehta, Vikram Singh, Priya Sharma",$409k,$1.1M,$8.6M,Successful
Zenith SaaS Nexus 39,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,8/13/2019,Emma Wilson,$235k,$1.2M,$5.1M,Acquired
Smart Logistics Hub 40,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,12/19/2016,"David Chen, Vikram Singh",$330k,$1.4M,$6.8M,Successful
Apex CleanTech Wave 41,Singapore,A leading Singapore-based CleanTech startup specializing in scalable and innovative solutions for the global market.,8/3/2020,"Sanjay Gupta, David Chen, Elena Rossi",$15k,$590k,$5.4M,Failed
Elite Cybersecurity Solutions 42,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,5/3/2021,"David Chen, Priya Sharma, Aisha Khan",$180k,$554k,$12.1M,Successful
Zenith HealthTech Flow 43,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,10/17/2011,"Michael O'Connor, Priya Sharma, Anjali Rao",$293k,$1.9M,$1.6M,Successful
Smart AgriTech Network 44,USA,A leading USA-based AgriTech startup specializing in scalable and innovative solutions for the global market.,11/16/2013,Sarah Jenkins,$173k,$199k,$6.9M,Failed
Quantum HealthTech Network 45,South Korea,A leading South Korea-based HealthTech startup specializing in scalable and innovative solutions for the global market.,9/26/2012,"Sanjay Gupta, Rohan Das, Li Wei",$232k,$224k,$7.2M,Acquired
Nova BioTech Solutions 46,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/19/2014,"Vikram Singh, Sanjay Gupta",$347k,$902k,$8.3M,Successful
Prime AI/ML Labs 47,South Korea,A leading South Korea-based AI/ML startup specializing in scalable and innovative solutions for the global market.,10/7/2018,"Sarah Jenkins, Li Wei",$206k,$279k,$15.0M,Successful
NextGen FinTech Systems 48,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,9/17/2022,Li Wei,$285k,$356k,$12.8M,Successful
Prime E-commerce Hub 49,Brazil,A leading Brazil-based E-commerce startup specializing in scalable and innovative solutions for the global market.,5/1/2011,Michael O'Connor,$430k,$1.7M,$8.2M,Successful
Apex AI/ML Solutions 50,India,A leading India-based AI/ML startup specializing in scalable and innovative solutions for the global market.,10/16/2013,"Rohan Das, Li Wei",$286k,$1.5M,$12.9M,Successful
Smart CleanTech Technologies 51,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,5/7/2022,Elena Rossi,$6k,$574k,$7.0M,Successful
Core SaaS Wave 52,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,5/11/2010,"Li Wei, Emma Wilson, Sarah Jenkins",$371k,$332k,$4.2M,Failed
Smart SaaS Network 53,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,6/22/2015,"David Chen, Rohan Das, Arjun Mehta",$8k,$983k,$1.5M,Acquired
Nova FinTech Technologies 54,Singapore,A leading Singapore-based FinTech startup specializing in scalable and innovative solutions for the global market.,1/1/2010,"Kavita Reddy, Sarah Jenkins, Arjun Mehta",$57k,$1.1M,$2.1M,Successful
